,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
120,"('121.', None)","('4025', None)","('Government College of Engineering, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4025.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4025.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4025.pdf')"
121,"('122.', None)","('4104', None)","('Kavi Kulguru Institute of Technology & Science, Ramtek', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4104.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4104.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4104.pdf')"
122,"('123.', None)","('4115', None)","('Shri Ramdeobaba College of Engineering and Management, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4115.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4115.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4115.pdf')"
123,"('124.', None)","('4116', None)","(""Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4116.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4116.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4116.pdf')"
124,"('125.', None)","('4118', None)","('Bapurao Deshmukh College of Engineering, Sevagram', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4118.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4118.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4118.pdf')"
125,"('126.', None)","('4123', None)","('Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4123.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4123.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4123.pdf')"
126,"('127.', None)","('4133', None)","(""Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4133.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4133.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4133.pdf')"
127,"('128.', None)","('4134', None)","('Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4134.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4134.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4134.pdf')"
128,"('129.', None)","('4135', None)","(""Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4135.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4135.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4135.pdf')"
129,"('130.', None)","('4136', None)","('Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4136.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4136.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4136.pdf')"
130,"('131.', None)","('4137', None)","(""Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4137.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4137.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4137.pdf')"
131,"('132.', None)","('4138', None)","('Jaidev Education Society, J D College of Engineering and Management, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4138.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4138.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4138.pdf')"
132,"('133.', None)","('4139', None)","('Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4139.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4139.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4139.pdf')"
133,"('134.', None)","('4141', None)","('Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_4141.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_4141.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_4141.pdf')"
